name,symbol,price,market_cap,volume_24h,percent_change_24h
Monero,XMR,228.23461681968587,4210185565.2339106,48762154.45730215,1.88958441
Aave,AAVE,265.12202982546717,3995972847.3098736,299302133.93258154,4.02089153
Aptos,APT,6.159958218314638,3614472477.3827324,182325877.323575,-0.49661328
Internet Computer,ICP,7.28422630699557,3503330572.8201404,85324859.74134737,1.20722765
Mantle,MNT,1.0392614922504597,3496797305.2737546,134240738.3896532,0.19689176
Bittensor,TAO,394.868060204858,3306114966.6216965,149560015.87712535,1.83923445
Ethereum Classic,ETC,21.45869118057885,3234958200.378264,135699097.02057493,1.16297852
OKB,OKB,51.917149439926675,3115028966.3956003,3898062.10590543,1.72644765
VeChain,VET,0.03522390780903913,2852609624.329886,45944769.85615109,1.25911916
POL (prev. MATIC),POL,0.3256608427963844,2788594861.3827486,120374693.74647765,2.24173201
Kaspa,KAS,0.10779609657835024,2773711287.2726603,98241403.9516578,3.49223507
Jupiter,JUP,0.963081244466289,2540067927.3159676,421090600.4380673,13.68687134
Algorand,ALGO,0.2985625857238801,2519936437.5161366,124114303.3014307,0.77664375
Render,RENDER,4.742327599753019,2455181673.8739285,71867921.77927229,4.46381988
Cronos,CRO,0.09112837360637491,2421423110.4095554,20777057.15119711,-0.14309898
Filecoin,FIL,3.5464402862645876,2240769421.3826947,132539414.357055,3.50962619
Arbitrum,ARB,0.49954774249476236,2169966742.5491877,180663849.8029071,2.08787249
First Digital USD,FDUSD,0.9994144347568145,2089791062.4937744,4967583461.458744,0.03364573
GateToken,GT,23.524967115047293,2087844172.6294377,17028981.16998098,3.10477271
Cosmos,ATOM,4.986344991993374,1949332810.3143163,161448155.57850707,-0.92671165
Artificial Superintelligence Alliance,FET,0.8126839008088746,1942011986.262449,122429588.45639026,3.82577343
Celestia,TIA,3.2226069714259964,1700168122.702003,72647813.97610573,5.19207169
Lido DAO,LDO,1.8609030448759378,1668909618.1238222,210557641.65600896,10.10886965
Raydium,RAY,5.72352954056382,1664784859.301253,147887855.9986629,10.21453573
Sonic (prev. FTM),S,0.5546156054622051,1597292943.7311506,116728982.0666135,2.92064286
Optimism,OP,1.1632357294055482,1572367877.6295888,180978584.91201907,2.32806803
Ethena,ENA,0.4931734918529029,1542708329.2023618,224782731.7147622,10.03554088
DeXe,DEXE,18.165475306374535,1521056056.2949321,8746591.40511386,1.91973195
Injective,INJ,15.272145767791557,1511498552.3562028,105701582.30514888,0.40572326
Stacks,STX,0.98911744115489,1496664977.817522,37332217.37752923,2.86638824
KuCoin Token,KCS,12.162613225222364,1491221128.693068,8558604.39955312,0.33362569
XDC Network,XDC,0.099675804504319,1488450750.791169,30032533.94612807,7.43262378
Bonk,BONK,1.8740350288635067e-05,1447765244.4193258,197683577.38406113,6.91831954
Immutable,IMX,0.8260601930701476,1440484030.9891155,37358827.15113794,3.13423451
Theta Network,THETA,1.4290597176553979,1429059717.655398,18079832.14864845,3.06694588
Movement,MOVE,0.5818325008770132,1396398002.1048317,174285721.09071153,6.71340481
The Graph,GRT,0.14394496317804875,1374463016.4912624,50801264.81641602,2.07259069
Worldcoin,WLD,1.2997627311785833,1322677852.9649,188532881.6132817,5.62466579
Flare,FLR,0.0216668086860141,1276278520.0851943,13063810.70765454,1.07294897
JasmyCoin,JASMY,0.023138764058202144,1144096181.387908,64401186.78224821,5.22851001
Quant,QNT,94.60785974642154,1142175903.4592936,28391958.89105214,2.41842379
Sei,SEI,0.24334713194988367,1078669960.3643217,74045528.21392371,4.06623068
EOS,EOS,0.672663577964687,1040341907.2186791,103629359.21269955,3.7617903
The Sandbox,SAND,0.40846407255050904,1006601347.9960471,88643311.05650653,3.20400416
Ethereum Name Service,ENS,27.57919020654585,980417062.7916766,85213581.03802283,2.17007855
